date,sku,units_sold,price,promo_flag
2023-10-02,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,21,61.44,0
2023-10-03,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,14,60.6,0
2023-10-04,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,20,57.15,0
2023-10-05,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,19,57.79,0
2023-10-06,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,14,62.8,0
2023-10-07,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,25,58.12,0
2023-10-08,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,26,61.51,0
2023-10-09,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,24,57.03,0
2023-10-10,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,13,57.11,0
2023-10-11,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,27,62.21,0
2023-10-12,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,21,57.42,0
2023-10-13,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,29,59.23,0
2023-10-14,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,29,61.87,0
2023-10-15,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,22,62.52,0
2023-10-16,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,24,58.56,0
2023-10-17,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,28,61.49,0
2023-10-18,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,18,62.47,0
2023-10-19,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,25,61.33,0
2023-10-20,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,23,57.29,0
2023-10-21,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,21,58.73,0
2023-10-22,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,25,62.79,0
2023-10-23,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,25,62.75,0
2023-10-24,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,27,59.16,0
2023-10-25,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,22,62.11,0
2023-10-26,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,30,57.99,0
2023-10-27,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,34,59.26,0
2023-10-28,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,26,60.55,0
2023-10-29,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,41,58.27,0
2023-10-30,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,19,57.26,0
2023-10-31,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,23,57.91,0
2023-11-01,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,23,48.52,1
2023-11-02,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,42,46.29,1
2023-11-03,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,49,50.9,1
2023-11-04,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,43,49.46,1
2023-11-05,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,61,51.14,1
2023-11-06,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,35,53.72,1
2023-11-07,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,36,49.43,1
2023-11-08,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,50,52.09,1
2023-11-09,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,59,49.03,1
2023-11-10,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,50,51.19,1
2023-11-11,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,47,52.68,1
2023-11-12,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,54,48.67,1
2023-11-13,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,33,46.76,1
2023-11-14,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,39,53.66,1
2023-11-15,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,43,47.54,1
2023-11-16,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,38,46.66,1
2023-11-17,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,51,47.6,1
2023-11-18,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,41,46.42,1
2023-11-19,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,51,53.37,1
2023-11-20,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,35,46.53,1
2023-11-21,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,50,49.06,1
2023-11-22,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,109,46.58,1
2023-11-23,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,93,51.88,1
2023-11-24,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,83,45.17,1
2023-11-25,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,169,51.77,1
2023-11-26,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,100,48.42,1
2023-11-27,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,181,47.94,1
2023-11-28,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,133,48.99,1
2023-11-29,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,46,53.54,1
2023-11-30,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,27,47.43,1
2023-12-01,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,56,53.9,1
2023-12-02,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,43,46.31,1
2023-12-03,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,59,49.51,1
2023-12-04,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,32,47.65,1
2023-12-05,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,47,53.41,1
2023-12-06,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,50,44.98,1
2023-12-07,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,50,53.45,1
2023-12-08,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,44,47.24,1
2023-12-09,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,58,51.15,1
2023-12-10,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,87,48.57,1
2023-12-11,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,52,53.71,1
2023-12-12,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,74,46.97,1
2023-12-13,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,46,51.17,1
2023-12-14,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,58,46.46,1
2023-12-15,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,83,48.8,1
2023-12-16,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,135,48.0,1
2023-12-17,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,142,46.94,1
2023-12-18,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,29,53.61,1
2023-12-19,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,124,46.18,1
2023-12-20,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,147,48.27,1
2023-12-21,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,91,48.47,1
2023-12-22,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,86,52.97,1
2023-12-23,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,98,47.81,1
2023-12-24,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,157,45.39,1
2023-12-25,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,29,48.4,1
2023-12-26,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,44,47.81,1
2023-12-27,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,26,47.71,1
2023-12-28,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,38,50.11,1
2023-12-29,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,34,47.1,1
2023-12-30,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,73,45.72,1
2023-12-31,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,82,45.5,1
2024-01-01,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,81,45.2,1
2024-01-02,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,75,46.88,1
2024-01-03,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,103,49.82,1
2024-01-04,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,44,47.07,1
2024-01-05,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,63,48.22,1
2024-01-06,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,132,53.5,1
2024-01-07,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,91,47.32,1
2024-01-08,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,36,51.91,1
2024-01-09,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,46,51.1,1
2024-01-10,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,53,45.47,1
2024-01-11,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,48,47.88,1
2024-01-12,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,54,51.81,1
2024-01-13,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,50,48.94,1
2024-01-14,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,75,51.15,1
2024-01-15,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,50,50.4,1
2024-01-16,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,39,46.33,1
2024-01-17,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,33,49.19,1
2024-01-18,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,48,50.13,1
2024-01-19,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,80,49.59,1
2024-01-20,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,63,47.02,1
2024-01-21,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,48,49.45,1
2024-01-22,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,33,47.24,1
2024-01-23,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,49,45.88,1
2024-01-24,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,55,52.18,1
2024-01-25,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,51,52.42,1
2024-01-26,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,44,50.73,1
2024-01-27,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,52,50.67,1
2024-01-28,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,53,48.83,1
2024-01-29,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,28,51.14,1
2024-01-30,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,49,46.39,1
2024-01-31,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,21,45.88,1
2024-02-01,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,39,60.8,0
2024-02-02,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,33,60.66,0
2024-02-03,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,37,57.36,0
2024-02-04,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,31,58.46,0
2024-02-05,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,21,59.21,0
2024-02-06,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,28,61.91,0
2024-02-07,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,30,61.16,0
2024-02-08,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,29,58.55,0
2024-02-09,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,28,60.73,0
2024-02-10,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,29,62.48,0
2024-02-11,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,28,57.05,0
2024-02-12,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,28,61.91,0
2024-02-13,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,32,62.74,0
2024-02-14,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,29,60.78,0
2024-02-15,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,32,57.67,0
2024-02-16,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,29,57.14,0
2024-02-17,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,40,59.08,0
2024-02-18,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,38,59.66,0
2024-02-19,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,26,57.24,0
2023-08-24,ASYMMETRIC_CROPPED_KNIT_SWEATER,12,38.53,0
2023-08-25,ASYMMETRIC_CROPPED_KNIT_SWEATER,16,41.74,0
2023-08-26,ASYMMETRIC_CROPPED_KNIT_SWEATER,13,40.41,0
2023-08-27,ASYMMETRIC_CROPPED_KNIT_SWEATER,15,38.92,0
2023-08-28,ASYMMETRIC_CROPPED_KNIT_SWEATER,11,41.81,0
2023-08-29,ASYMMETRIC_CROPPED_KNIT_SWEATER,13,39.91,0
2023-08-30,ASYMMETRIC_CROPPED_KNIT_SWEATER,16,38.43,0
2023-08-31,ASYMMETRIC_CROPPED_KNIT_SWEATER,11,40.09,0
2023-09-01,ASYMMETRIC_CROPPED_KNIT_SWEATER,12,39.57,0
2023-09-02,ASYMMETRIC_CROPPED_KNIT_SWEATER,16,41.31,0
2023-09-03,ASYMMETRIC_CROPPED_KNIT_SWEATER,15,41.4,0
2023-09-04,ASYMMETRIC_CROPPED_KNIT_SWEATER,10,38.42,0
2023-09-05,ASYMMETRIC_CROPPED_KNIT_SWEATER,11,40.39,0
2023-09-06,ASYMMETRIC_CROPPED_KNIT_SWEATER,14,39.33,0
2023-09-07,ASYMMETRIC_CROPPED_KNIT_SWEATER,11,40.46,0
2023-09-08,ASYMMETRIC_CROPPED_KNIT_SWEATER,17,38.85,0
2023-09-09,ASYMMETRIC_CROPPED_KNIT_SWEATER,19,38.41,0
2023-09-10,ASYMMETRIC_CROPPED_KNIT_SWEATER,19,41.36,0
2023-09-11,ASYMMETRIC_CROPPED_KNIT_SWEATER,9,39.61,0
2023-09-12,ASYMMETRIC_CROPPED_KNIT_SWEATER,14,38.55,0
2023-09-13,ASYMMETRIC_CROPPED_KNIT_SWEATER,16,38.33,0
2023-09-14,ASYMMETRIC_CROPPED_KNIT_SWEATER,16,39.92,0
2023-09-15,ASYMMETRIC_CROPPED_KNIT_SWEATER,18,40.04,0
2023-09-16,ASYMMETRIC_CROPPED_KNIT_SWEATER,18,39.48,0
2023-09-17,ASYMMETRIC_CROPPED_KNIT_SWEATER,18,39.79,0
2023-09-18,ASYMMETRIC_CROPPED_KNIT_SWEATER,15,39.86,0
2023-09-19,ASYMMETRIC_CROPPED_KNIT_SWEATER,15,39.52,0
2023-09-20,ASYMMETRIC_CROPPED_KNIT_SWEATER,15,39.23,0
2023-09-21,ASYMMETRIC_CROPPED_KNIT_SWEATER,23,38.86,0
2023-09-22,ASYMMETRIC_CROPPED_KNIT_SWEATER,16,41.07,0
2023-09-23,ASYMMETRIC_CROPPED_KNIT_SWEATER,11,38.33,0
2023-09-24,ASYMMETRIC_CROPPED_KNIT_SWEATER,19,38.86,0
2023-09-25,ASYMMETRIC_CROPPED_KNIT_SWEATER,13,38.58,0
2023-09-26,ASYMMETRIC_CROPPED_KNIT_SWEATER,16,39.74,0
2023-09-27,ASYMMETRIC_CROPPED_KNIT_SWEATER,17,40.11,0
2023-09-28,ASYMMETRIC_CROPPED_KNIT_SWEATER,9,39.33,0
2023-09-29,ASYMMETRIC_CROPPED_KNIT_SWEATER,20,39.41,0
2023-09-30,ASYMMETRIC_CROPPED_KNIT_SWEATER,20,38.94,0
2023-10-01,ASYMMETRIC_CROPPED_KNIT_SWEATER,24,40.94,0
2023-10-02,ASYMMETRIC_CROPPED_KNIT_SWEATER,12,38.73,0
2023-10-03,ASYMMETRIC_CROPPED_KNIT_SWEATER,26,39.26,0
2023-10-04,ASYMMETRIC_CROPPED_KNIT_SWEATER,19,40.15,0
2023-10-05,ASYMMETRIC_CROPPED_KNIT_SWEATER,23,38.11,0
2023-10-06,ASYMMETRIC_CROPPED_KNIT_SWEATER,20,41.31,0
2023-10-07,ASYMMETRIC_CROPPED_KNIT_SWEATER,29,39.31,0
2023-10-08,ASYMMETRIC_CROPPED_KNIT_SWEATER,26,40.79,0
2023-10-09,ASYMMETRIC_CROPPED_KNIT_SWEATER,20,38.41,0
2023-10-10,ASYMMETRIC_CROPPED_KNIT_SWEATER,20,38.62,0
2023-10-11,ASYMMETRIC_CROPPED_KNIT_SWEATER,18,38.69,0
2023-10-12,ASYMMETRIC_CROPPED_KNIT_SWEATER,21,41.67,0
2023-10-13,ASYMMETRIC_CROPPED_KNIT_SWEATER,25,41.59,0
2023-10-14,ASYMMETRIC_CROPPED_KNIT_SWEATER,30,40.08,0
2023-10-15,ASYMMETRIC_CROPPED_KNIT_SWEATER,34,40.53,0
2023-10-16,ASYMMETRIC_CROPPED_KNIT_SWEATER,15,41.85,0
2023-10-17,ASYMMETRIC_CROPPED_KNIT_SWEATER,26,38.11,0
2023-10-18,ASYMMETRIC_CROPPED_KNIT_SWEATER,17,38.36,0
2023-10-19,ASYMMETRIC_CROPPED_KNIT_SWEATER,25,39.94,0
2023-10-20,ASYMMETRIC_CROPPED_KNIT_SWEATER,29,39.1,0
2023-10-21,ASYMMETRIC_CROPPED_KNIT_SWEATER,27,39.41,0
2023-10-22,ASYMMETRIC_CROPPED_KNIT_SWEATER,25,40.92,0
2023-10-23,ASYMMETRIC_CROPPED_KNIT_SWEATER,16,37.98,0
2023-10-24,ASYMMETRIC_CROPPED_KNIT_SWEATER,24,38.31,0
2023-10-25,ASYMMETRIC_CROPPED_KNIT_SWEATER,27,40.45,0
2023-10-26,ASYMMETRIC_CROPPED_KNIT_SWEATER,23,41.1,0
2023-10-27,ASYMMETRIC_CROPPED_KNIT_SWEATER,15,38.34,0
2023-10-28,ASYMMETRIC_CROPPED_KNIT_SWEATER,28,41.4,0
2023-10-29,ASYMMETRIC_CROPPED_KNIT_SWEATER,28,39.95,0
2023-10-30,ASYMMETRIC_CROPPED_KNIT_SWEATER,22,39.85,0
2023-10-31,ASYMMETRIC_CROPPED_KNIT_SWEATER,27,40.22,0
2023-11-01,ASYMMETRIC_CROPPED_KNIT_SWEATER,40,30.23,1
2023-11-02,ASYMMETRIC_CROPPED_KNIT_SWEATER,41,30.74,1
2023-11-03,ASYMMETRIC_CROPPED_KNIT_SWEATER,58,30.85,1
2023-11-04,ASYMMETRIC_CROPPED_KNIT_SWEATER,42,31.45,1
2023-11-05,ASYMMETRIC_CROPPED_KNIT_SWEATER,38,32.36,1
2023-11-06,ASYMMETRIC_CROPPED_KNIT_SWEATER,39,30.25,1
2023-11-07,ASYMMETRIC_CROPPED_KNIT_SWEATER,39,32.99,1
2023-11-08,ASYMMETRIC_CROPPED_KNIT_SWEATER,31,31.11,1
2023-11-09,ASYMMETRIC_CROPPED_KNIT_SWEATER,41,33.48,1
2023-11-10,ASYMMETRIC_CROPPED_KNIT_SWEATER,38,30.74,1
2023-11-11,ASYMMETRIC_CROPPED_KNIT_SWEATER,58,34.1,1
2023-11-12,ASYMMETRIC_CROPPED_KNIT_SWEATER,46,31.38,1
2023-11-13,ASYMMETRIC_CROPPED_KNIT_SWEATER,42,31.18,1
2023-11-14,ASYMMETRIC_CROPPED_KNIT_SWEATER,31,35.43,1
2023-11-15,ASYMMETRIC_CROPPED_KNIT_SWEATER,57,30.47,1
2023-11-16,ASYMMETRIC_CROPPED_KNIT_SWEATER,39,32.33,1
2023-11-17,ASYMMETRIC_CROPPED_KNIT_SWEATER,32,32.9,1
2023-11-18,ASYMMETRIC_CROPPED_KNIT_SWEATER,33,34.55,1
2023-11-19,ASYMMETRIC_CROPPED_KNIT_SWEATER,46,30.84,1
2023-11-20,ASYMMETRIC_CROPPED_KNIT_SWEATER,28,34.7,1
2023-11-21,ASYMMETRIC_CROPPED_KNIT_SWEATER,42,31.06,1
2023-11-22,ASYMMETRIC_CROPPED_KNIT_SWEATER,72,35.83,1
2023-11-23,ASYMMETRIC_CROPPED_KNIT_SWEATER,117,33.39,1
2023-11-24,ASYMMETRIC_CROPPED_KNIT_SWEATER,128,34.97,1
2023-11-25,ASYMMETRIC_CROPPED_KNIT_SWEATER,120,35.11,1
2023-11-26,ASYMMETRIC_CROPPED_KNIT_SWEATER,185,34.36,1
2023-11-27,ASYMMETRIC_CROPPED_KNIT_SWEATER,84,30.92,1
2023-11-28,ASYMMETRIC_CROPPED_KNIT_SWEATER,126,30.97,1
2023-11-29,ASYMMETRIC_CROPPED_KNIT_SWEATER,35,30.03,1
2023-11-30,ASYMMETRIC_CROPPED_KNIT_SWEATER,61,33.9,1
2023-12-01,ASYMMETRIC_CROPPED_KNIT_SWEATER,65,31.21,1
2023-12-02,ASYMMETRIC_CROPPED_KNIT_SWEATER,50,35.76,1
2023-12-03,ASYMMETRIC_CROPPED_KNIT_SWEATER,65,32.92,1
2023-12-04,ASYMMETRIC_CROPPED_KNIT_SWEATER,40,33.74,1
2023-12-05,ASYMMETRIC_CROPPED_KNIT_SWEATER,38,35.48,1
2023-12-06,ASYMMETRIC_CROPPED_KNIT_SWEATER,57,33.83,1
2023-12-07,ASYMMETRIC_CROPPED_KNIT_SWEATER,52,32.11,1
2023-12-08,ASYMMETRIC_CROPPED_KNIT_SWEATER,62,33.29,1
2023-12-09,ASYMMETRIC_CROPPED_KNIT_SWEATER,57,34.2,1
2023-12-10,ASYMMETRIC_CROPPED_KNIT_SWEATER,66,32.51,1
2023-12-11,ASYMMETRIC_CROPPED_KNIT_SWEATER,45,32.63,1
2023-12-12,ASYMMETRIC_CROPPED_KNIT_SWEATER,46,31.84,1
2023-12-13,ASYMMETRIC_CROPPED_KNIT_SWEATER,48,35.2,1
2023-12-14,ASYMMETRIC_CROPPED_KNIT_SWEATER,46,31.79,1
2023-12-15,ASYMMETRIC_CROPPED_KNIT_SWEATER,100,32.83,1
2023-12-16,ASYMMETRIC_CROPPED_KNIT_SWEATER,70,32.12,1
2023-12-17,ASYMMETRIC_CROPPED_KNIT_SWEATER,112,32.09,1
2023-12-18,ASYMMETRIC_CROPPED_KNIT_SWEATER,69,35.51,1
2023-12-19,ASYMMETRIC_CROPPED_KNIT_SWEATER,81,33.8,1
2023-12-20,ASYMMETRIC_CROPPED_KNIT_SWEATER,137,32.08,1
2023-12-21,ASYMMETRIC_CROPPED_KNIT_SWEATER,78,35.62,1
2023-12-22,ASYMMETRIC_CROPPED_KNIT_SWEATER,108,32.97,1
2023-12-23,ASYMMETRIC_CROPPED_KNIT_SWEATER,170,30.93,1
